conv_id,n_utterances,n_tokens,topics,type,speaker1_id,speaker1_age_cat,speaker1_gender,speaker1_educ,speaker2_id,speaker2_age_cat,speaker2_gender,speaker2_educ
S8U5,575,6829,"['school', 'coursework', 'teachers', 'biking', 'friends', 'upcoming party', 'movies', 'allergies', 'school behavior', 'school prefects']","['discussing', 'explaining', 'complaining', 'anecdote telling']",S0405,11_18,M,3_sixthform,S0555,11_18,M,3_sixthform
S8VZ,147,3100,"['sport', 'uni', 'work', 'bands']","['discussing', 'explaining', 'inquiring', 'complaining', 'anecdote telling']",S0202,19_29,F,3_sixthform,S0208,19_29,F,3_sixthform
S8WS,503,7447,"['welfare', 'work', 'police action', 'immigration', 'family']","['discussing', 'anecdote telling', 'telling jokes']",S0456,40_49,M,5_postgrad,S0460,80_89,M,3_sixthform
S8XE,674,7027,"['bike theft', 'social media', 'college', 'food', 'cycling']","['dicsussing', 'inquiring', 'anecdote telling']",S0509,11_18,F,2_secondary,S0510,40_49,F,5_postgrad
S92V,199,1922,"['driving', 'money', 'petrol', 'relationships', 'family', 'food', 'work', 'language use and slang', 'coursework', 'tidying', 'family', 'boxing', 'fighting', 'drugs', 'being tired', 'traffic warden', 'speeding', 'police', 'make up', 'speaking and pronunciation', 'traffic', 'sunday market', 'sleeping', 'bus', 'overdraft', 'credit card', 'student loan', 'accommodation', 'shower gel', 'friends.']","['discussing', 'explaining', 'complaining']",S0576,19_29,M,3_sixthform,S0578,11_18,F,3_sixthform
S94U,680,7605,"['the location (traditional bakery/café)', 'postal service', 'social media friends', 'travel plans', 'water quality', 'swearing', 'the ‘facts of life’', 'underwear. ']","['discussing', 'explaining']",S0618,40_49,F,4_graduate,S0619,19_29,F,5_postgrad
S954,1047,11544,"['anon and anon are talking in the kitchen', 'anon is cooking toad in the hole for herself', 'anon is helping and advising her. talk about food', 'cooking', 'anon’s date.']","['discussing.', 'inquiring', 'complaining', 'advising']",S0529,19_29,F,3_sixthform,S0530,19_29,F,3_sixthform
S95D,729,11681,"['clothes', 'food and cooking', 'travelling', 'health and illness', 'exercise classes']","['discussing', 'explaining', 'inquiring', 'anecdote telling', 'making arrangements']",S0018,30_39,F,5_postgrad,S0146,30_39,F,5_postgrad
S97B,112,2599,['how we evaluate the work that we do in our jobs. '],"['discussing', 'explaining', 'inquiring']",S0261,40_49,M,4_graduate,S0262,40_49,F,5_postgrad
S97Z,1915,15985,"['linguistics recording', 'friends', 'pregnancy', 'reunions', 'colloquialisms', 'post', 'chores', 'money and budgets', 'salary', 'marriage', 'joint bank accounts', 'south korea', 'education', 'tv', 'shopping', 'weather', 'childbirth', 'children', 'future plans', 'living abroad', 'university', 'form filling', 'accent', 'spanish', 'cigarettes', 'cost of living', 'old jobs', '']","['discussing', 'explaining', 'inquiring', 'complaining', 'advising', 'announcing', 'anecdote telling', 'telling jokes']",S0192,19_29,M,4_graduate,S0195,19_29,M,4_graduate
S9CR,161,1388,"[' texting', 'how to respond to a text', 'food', 'work', ' phones', 'business', 'money', 'tv', 'films.']","['discussing', 'inquiring', 'complaining']",S0576,19_29,M,3_sixthform,S0578,11_18,F,3_sixthform
S9DE,528,4262,['no info'],['discussing'],S0012,70_79,M,2_secondary,S0013,60_69,F,3_sixthform
S9E6,1046,11821,"['computers', 'internet', 'university', 'exams', 'japan', 'tokyo', 'travel plans', 'plans for the future', 'restaurants']","['discussing', 'explaining', 'inquiring', 'complaining', 'advising', 'announcing', 'anecdote telling']",S0326,19_29,M,4_graduate,S0380,19_29,M,4_graduate
S9EP,849,10955,"['scottish referendum', 'job interview', 'colleague', 'my daughter', 'present personal situation.']","['discussing', 'explaining', 'inquiring', 'anecdote telling']",S0281,60_69,M,4_graduate,S0355,60_69,M,2_secondary
S9ER,1454,19178,"['death', 'cancer', 'health (mental and physical)', 'family', 'children.']","['discussing', 'explaining', 'inquiring', 'advising', 'anecdote telling']",S0517,40_49,F,4_graduate,S0518,40_49,F,4_graduate
S9F7,342,3531,"['membership of a society', 'life information', 'some technical engineering subjects.']","['discussing', 'explaining', 'inquiring', 'anecdote telling']",S0486,60_69,F,4_graduate,S0526,60_69,M,2_secondary
S9G2,382,5383,"['asthma', 'weights', 'family', 'journeys', 'extended family', 'children', 'unachievable dreams', 'health', 'weather', 'inheritance', 'property', 'family business', 'linguistics', 'the bin men ']","['discussing', 'explaining', 'inquiring', 'complaining', 'advising', 'making arrangements']",S0192,19_29,M,4_graduate,S0227,50_59,M,3_sixthform
S9GP,1041,14847,"['paris', 'languages', 'travel', 'family', 'university', 'bees', 'german', 'classics', 'computer problems', 'italy']","['discussing', 'explaining', 'inquiring', 'announcing', 'anecdote telling']",S0326,19_29,M,4_graduate,S0327,70_79,F,4_graduate
S9HC,428,3349,['local politics - planning applications; arrangements to attend a forthcoming planning'],"['discussing', 'explaining', 'inquiring', 'making arrangements', 'buying/selling']",S0268,60_69,M,4_graduate,S0269,70_79,M,4_graduate
S9KS,396,4039,"['sport', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'family', 'work', 'house']","['discussing', 'explaining', 'inquiring', 'complaining', 'requesting', 'inviting', 'announcing', 'anecdote telling', 'making arrangements']",S0439,19_29,F,4_graduate,S0441,19_29,F,5_postgrad
S9MK,485,4402,"['tv shows', 'current affairs', 'personal situations', 'family', 'work', 'future plans', 'friends', 'finances']","['discussing', 'explaining', 'inquiring', 'complaining', 'anecdote telling', 'making arrangements']",S0167,19_29,F,4_graduate,S0378,19_29,F,5_postgrad
S9N4,1549,12945,[],"['discussing', 'explaining', 'inquiring', 'complaining', 'advising', 'anecdote telling', 'making arrangements ']",S0082,60_69,M,2_secondary,S0084,19_29,F,5_postgrad
S9P6,2369,16665,"['food', 'cooking', 'food wastage', 'our grandparents’ house', 'tv series', 'arranged marriages', 'dowries', ' careers advice in schools', 'work experience', '‘closed’ industries', 'private industries', 'plastic bag charge', 'robots', 'industrialization', 'urban farming initiatives', 'furniture in the house', 'decorating']","['discussing', 'explaining', 'inquiring', 'advising']",S0454,30_39,F,4_graduate,S0466,19_29,M,5_postgrad
S9S8,325,3419,"['ice skating', 'learning styles', 'rainbows', 'online shopping', 'women’s clothes sizing', '']","['discussing', 'explaining', 'inquiring', 'anecdote telling']",S0255,40_49,F,4_graduate,S0256,19_29,F,3_sixthform
S9VA,530,5662,"['learning how to drive', 'jobs', 'racism and homophobia', 'teaching', 'mobile phones', 'siblings']","['discussing', 'inquiring', ' anecdote telling']",S0018,30_39,F,5_postgrad,S0170,30_39,F,4_graduate
S9VB,313,4139,"[' communication in languages', 'phone number/calls', 'medical bills/ hospitals', 'public transport/ walking', 'photocopying', 'printing', 'areas/ places', 'seatbelts/ car crashes', '']","['discussing', 'explaining', 'anecdote telling']",S0421,11_18,F,3_sixthform,S0423,50_59,M,2_secondary
S9WP,209,3710,[' things i do not like'],['complaining'],S0081,30_39,M,3_sixthform,S0090,19_29,F,4_graduate
S9WZ,1734,16704,"['house auction and improvements', 'friends’ lives', 'holland', 'sister and baby', 'mice in the house', 'work experience']","['discussing', 'explaining', 'anecdote telling']",S0517,40_49,F,4_graduate,S0558,50_59,F,3_sixthform
S9X9,798,9536,"['a play and an actor', ""a 'who do you think you are' story"", 'family histories', ""women's careers"", 'previous generations', 'language use', 'young people', 'organising a dance', 'singing and composers', 'going to college']","['discussing', 'explaining', 'inquiring', ' anecdote telling']",S0282,50_59,F,5_postgrad,S0284,60_69,M,4_graduate
S9YG,716,8971,"['the weather', 'sickness', 'returning ‘home’ (for a funeral)', 'favourite types of job', 'sense of belonging/home', 'looking at social media images', 'being sick', 'therapy', 'television', 'holiday plans/where to live plans. ']","['discussing', 'explaining']",S0618,40_49,F,4_graduate,S0619,19_29,F,5_postgrad
S9ZP,529,5962,"['food', 'china', 'laptop']","['discussing', 'explaining', 'inquiring']",S0015,60_69,F,5_postgrad,S0281,60_69,M,4_graduate
SA4W,469,5922,"['starting a joint business', 'travelling and doing business in foreign countries. ']","['discussing', 'explaining', 'inquiring', 'requesting', 'making arrangements']",S0261,40_49,M,4_graduate,S0262,40_49,F,5_postgrad
SA69,1027,8660,"['learning to row', 'kayaking experiences', 'buying suitable clothing for wet weather', 'telling the story about meeting up with a family member for the first time; talking about the death of a family member; and news about an illness in the family. ']","['discussing', 'explaining', 'inquiring', 'complaining', 'anecdote telling']",S0262,40_49,F,5_postgrad,S0302,50_59,F,5_postgrad
SA9T,212,1692,"['recent mail', 'job prospects']",[],S0015,60_69,F,5_postgrad,S0281,60_69,M,4_graduate
SA9U,298,2435,"['work', 'friends', 'pollution']","['discussing', 'explaining']",S0024,30_39,F,5_postgrad,S0144,30_39,M,5_postgrad
SAA3,686,7681,"['food & drink', 'moving house item list', 'marriage', 'jet lag', 'memory', 'health', 'weaver fish', 'travelling', 'friends & family']","['discussing', 'explaining', 'inquiring', 'advising', 'anecdote telling', 'making arrangements']",S0192,19_29,M,4_graduate,S0199,50_59,F,3_sixthform
SABT,353,6395,"['masterchef', 'cooking', 'christmas food', 'school dinners']","['discussing', 'anecdote telling']",S0037,19_29,F,5_postgrad,S0115,30_39,M,5_postgrad
SACQ,142,1447,"['a new bus route', 'cambridge university press bookshop', 'a student protester', 'comparing universities']","['discussing', 'explaining', 'inquiring', 'complaining']",S0058,19_29,F,4_graduate,S0179,19_29,M,5_postgrad
SAFZ,278,3086,"['careers', 'inventions/patents', 'china and the growing world', 'investment']","['discussing', 'explaining', 'complaining']",S0402,11_18,M,3_sixthform,S0405,11_18,M,3_sixthform
SAG4,887,9939,"['exercise', 'phones', 'writing', 'post', 'theatre', 'work', 'tv', 'halloween', 'food', 'toilets', 'ghosts', 'exams', 'alcohol', 'future plans', 'songs', 'uni', 'manchester', 'cars', 'recruitment', 'sleeping']","['discussing', 'explaining', 'inquiring', 'complaining', 'advising', 'announcing', 'anecdote telling', 'making arrangements']",S0447,19_29,M,3_sixthform,S0448,19_29,F,4_graduate
SAHB,795,7586,"['tv shows', 'roman history', 'food', 'spartacus', 'early deaths', 'musicians', 'teas', 'mortar and pestles', 'clothes', 'souvenirs', 'herbs & spices', 'nuts', 'chickpeas', 'bread', 'china', 'malarials', 'sea lice']","['discussing', 'explaining', 'inquiring', 'telling jokes']",S0192,19_29,M,4_graduate,S0228,19_29,M,3_sixthform
SAMQ,163,2328,"['weight', 'diet']",['discussing '],S0202,19_29,F,3_sixthform,S0208,19_29,F,3_sixthform
SASU,242,3110,['books in education'],"['discussing', 'explaining', 'inquiring', 'anecdote telling']",S0251,50_59,F,5_postgrad,S0252,11_18,M,3_sixthform
SAT9,298,4213,"['arrangements for the day', 'exercise', 'internet', 'family relationships']","['discussing', 'explaining', 'inquiring', 'requesting', 'making arrangements']",S0058,19_29,F,4_graduate,S0179,19_29,M,5_postgrad
SAUJ,417,4774,"['life', 'family', 'work']","['discussing', 'explaining', 'inquiring', 'complaining', 'advising', 'anecdote telling']",S0482,30_39,M,5_postgrad,S0483,30_39,F,5_postgrad
SAVH,516,5022,"['game shows', 'media and sociology ']","['discussing', 'explaining', 'anecdote telling', 'telling jokes']",S0670,19_29,M,4_graduate,S0671,19_29,M,4_graduate
